SIREN;"Raison sociale";Dirigeant;"Site web";Ville;"Code APE";"Résultat net";"Estimation des cotations";"Estimation des encours";"Années d'existence";Département;"Chiffre d'affaires";Effectif;"Capital social";"Capitaux propres";"Code postal";"Date de création";EBITDA;"Forme juridique";Profitabilité;Statuts;Trésorerie;Valorisation;Adresse;"Fonds de roulement";URL
645680026;DELPEYRAT;Arevco;http://www.delpeyrat.com/;SAINT-PIERRE-DU-MONT;1013A;-2635329;5;1500000;68;40;234815554;1099;90000000;19352461;40280;1956-01-01T00:00:00.000Z;1888301;"Société par actions simplifiée";-1;Active;2413408;9850590;"DELPEYRAT LEYMARIEE, TEOULERE SAINT-PIERRE-DU-MONT, 40280";17355459;https://infonet.fr/entreprises/64568002600079-delpeyrat/
399341304;"SOCIETE FROMAGERE DE BOUVRON";"Rsm Ouest";https://www.lactalis.com/;BOUVRON;1051C;;5;105200;29;44;234660924;506;16000;16000;44130;1994-12-09T00:00:00.000Z;3408174;"Société en nom collectif";;Active;;;", 1 CHEMIN DE GAUTHERAIS BOUVRON, 44130";22926672;https://infonet.fr/entreprises/39934130400018-societe-fromagere-de-bouvron/
777626722;"COOPERATIVE MARAICHERE DE L'OUEST";"Pierre-yves Jestin";https://www.saveol.com/;PLOUGASTEL-DAOULAS;4631Z;137677;4;1500000;24;29;234284910;166;967282;15700675;29470;1999-09-01T00:00:00.000Z;4125163;"Société coopérative agricole";0;Active;1393867;;", 77 RUE DU PERE GWENAEL PLOUGASTEL-DAOULAS, 29470";4278501;https://infonet.fr/entreprises/77762672200055-cooperative-maraichere-de-l-ouest/
501447288;"ALDI ENNERY";"Jean-louis Houdart";http://www.aldi.fr/;ENNERY;4711D;-18619751;6;245250;16;57;234154537;11000;20946000;2375314;57365;2007-12-11T00:00:00.000Z;-13680708;"Société à responsabilité limitée";-7;Active;2368272;;"ALDI MARCHE, RUE GEORGES CLAUDE ENNERY, 57365";-17294148;https://infonet.fr/entreprises/50144728800025-aldi-ennery/
428637987;"SPIE BATIGNOLLES GENIE CIVIL";"Jean-charles Claude Robin";https://www.spiebatignolles.fr/;NANTERRE;4213B;3723566;4;1500000;24;92;234082844;849;7688200;18343039;92000;1999-12-15T00:00:00.000Z;-2667451;"SA à conseil d'administration";1;Active;60386744;;"ZIE LES SABLES, 30 AVENUE DU GENERAL GALLIENI NANTERRE, 92000";10728783;https://infonet.fr/entreprises/42863798700069-spie-batignolles-genie-civil/
557150349;"ETABLISSEMENTS MAISONNEUVE";"Maisonneuve Et Associes";https://maisonneuve.biz/;"CHATEAU GONTIER SUR MAYENNE";4672Z;15100999;2;1500000;53;53;234049525;297;7200000;61478294;53200;1971-01-01T00:00:00.000Z;19933504;"Société par actions simplifiée";6;Active;8530145;265805;"BELLITOURNE, ZONE INDUSTRIELLE CHATEAU GONTIER SUR MAYENNE, 53200";86237820;https://infonet.fr/entreprises/55715034900024-etablissements-maisonneuve/
433842044;"LABORATOIRES URGO";"Guirec Le Lous";https://www.brulures.fr/;CHENÔVE;2120Z;57263143;1;1500000;23;21;233869464;697;13987328;231574412;21300;2000-12-14T00:00:00.000Z;32115574;"SASU Société par actions simplifiée à associé unique";24;Active;1362105;7321890;"URGO MEDICAL, 42 RUE DE LONGVIC CHENÔVE, 21300";40369910;https://infonet.fr/entreprises/43384204400011-laboratoires-urgo/
722068608;"ARROW FRANCE";"Horst Schwanke";https://www.arrow.com;RUNGIS;4652Z;6272649;4;1500000;52;94;233656352;319;24196687;96196466;94150;1972-01-01T00:00:00.000Z;5205122;"Société par actions simplifiée";2;Active;152363;;"TEKELEC EUR CCI -ARROW ELECTRONIQUE ..., 13 RUE DU PONT DES HALLES RUNGIS, 94150";95692512;https://infonet.fr/entreprises/72206860800305-arrow-france/
431748961;"LESAGE INDUSTRIE DU BETON";"Ronan Blanchard";https://www.rector.fr;MULHOUSE;6420Z;;3;10476;24;68;233653719;3;587604;148397121;68200;2000-05-29T00:00:00.000Z;25049527;"Société par actions simplifiée";;Active;;76420537;", 16 RUE DE HIRTZBACH MULHOUSE, 68200";89820652;https://infonet.fr/entreprises/43174896100015-lesage-industrie-du-beton/
484223094;ENERCOOP;"Julien Louis Benoit Noé";http://www.enercoop.fr/;PARIS;3513Z;2336826;4;1500000;18;75;233412585;132;20030900;17294916;75019;2005-07-29T00:00:00.000Z;4399108;"SA union de sociétés coopératives à conseil d'administration";1;Active;24141370;;"16-18, 16 QUAI DE LA LOIRE PARIS, 75019";24669423;https://infonet.fr/entreprises/48422309400067-enercoop/
350432225;COFIA;"Stéphane Caldairou";;PARIS;4511Z;-36409;5;1500000;35;75;233410364;373;300004;997059;75016;1989-05-01T00:00:00.000Z;846316;"Société par actions simplifiée";0;Active;1449;1123925;"CHEZ PGA MOTORS, 39 AVENUE D'IENA PARIS, 75016";58613411;https://infonet.fr/entreprises/35043222500083-cofia/
392108932;"CENTRALE D ACHAT UBALDI";"Walter Ubaldi";;CARROS;4791B;1752864;5;1500000;30;6;233350826;300;4200000;12937082;06510;1993-08-10T00:00:00.000Z;5926821;"Société par actions simplifiée";0;Active;1957318;;"100% LITERIE. SALONS . ESPACES CUISINES, 5770 17EME RUE CARROS, 06510";-149425;https://infonet.fr/entreprises/39210893200196-centrale-d-achat-ubaldi/
318906443;"BUFFALO GRILL";"Antelope Acquisitions 2 Sas";http://www.buffalo-grill.fr/;MONTROUGE;5610A;-47311896;6;426741;39;92;233242002;5294;10006187;-63023616;92120;1985-05-02T00:00:00.000Z;-32565443;"Société par actions simplifiée";-20;Active;28449439;;"BUFFALO GRILL, 9 BOULEVARD DU GENERAL DE GAULLE MONTROUGE, 92120";-44287455;https://infonet.fr/entreprises/31890644302868-buffalo-grill/
303765291;GEIMEX;"Hélène, Esther Teboul";https://www.leaderprice.fr;VITRY-SUR-SEINE;4639B;9402928;3;1500000;50;94;233071883;2694;155000;29405913;94400;1973-11-06T00:00:00.000Z;14055048;"Société par actions simplifiée";4;Active;58746113;;"LEADER PRICE, 123 QUAI JULES GUESDE VITRY-SUR-SEINE, 94400";54936195;https://infonet.fr/entreprises/30376529100040-geimex/
334835709;LYNRED;"Jean-françois Delepau";https://www.lynred.com/;PALAISEAU;2611Z;20272872;2;1500000;38;91;233046500;1075;6000000;170529551;91120;1986-01-01T00:00:00.000Z;34513581;"Société par actions simplifiée";8;Active;2585349;87712998;"43 A 47, AVENUE DE LA VAUVE PALAISEAU, 91120";88065682;https://infonet.fr/entreprises/33483570900042-lynred/
440579050;HELIOPOTASSE;;http://www.heliopotasse.com/;MULHOUSE;4675Z;2424654;4;1500000;22;68;232948501;28;2500000;9389278;68100;2002-01-31T00:00:00.000Z;4070945;"Société par actions simplifiée";1;Active;5479108;;", 25 PLACE DE LA REUNION MULHOUSE, 68100";52008535;https://infonet.fr/entreprises/44057905000020-heliopotasse/
310923008;"SODEXO EN FRANCE";"Bruno, Jean, Geza Vaquette";http://www.sodexo.com/;GUYANCOURT;5629B;1049402;4;1500000;47;78;232869706;944;1040896;1950808;78280;1977-01-01T00:00:00.000Z;14134120;"Société par actions simplifiée";0;Active;41026018;;"SODEXO FRANCE, 6 RUE DE LA REDOUTE GUYANCOURT, 78280";-52734613;https://infonet.fr/entreprises/31092300800117-sodexo-en-france/
778150706;"AXALTA COATING SYSTEMS FRANCE SAS";"Pascal Nicard";https://www.axalta.com/;MANTES-LA-VILLE;2030Z;7370012;3;1500000;51;78;232853719;11000;21778400;42747117;78711;1973-01-01T00:00:00.000Z;12497326;"SASU Société par actions simplifiée à associé unique";3;Active;538641;;"ZA LES BRUOTTEES, 1 ALLEE DE CHANTEREINE MANTES-LA-VILLE, 78711";17131401;https://infonet.fr/entreprises/77815070600019-axalta-coating-systems-france-sas/
